1;1000A002;Pancasila dan Kewarganegaraan;3;2019-2020 Gasal;AB
2;1600A002;Bahasa Inggris;2;2019-2020 Gasal;A
3;1600A104;Matematika;4;2019-2020 Gasal;AB
4;1604A011;Algoritma dan Pemrograman;6;2019-2020 Gasal;A
5;1604A012;Pengantar Informatika;2;2019-2020 Gasal;A
6;1604A013;Organisasi dan Arsitektur Komputer;2;2019-2020 Gasal;AB
7;1600A001;Penulisan dan Presentasi Ilmiah;3;2019-2020 Genap;B
8;1604A021;Pemrograman Berorientasi Objek;6;2019-2020 Genap;A
9;1604A022;Sistem Operasi;3;2019-2020 Genap;B
10;1604A023;Matematika Diskrit;3;2019-2020 Genap;BC
11;1607A021;Basis Data;4;2019-2020 Genap;BC
12;1604B024;Human Computer Interaction;2;2020-2021 Gasal;AB
13;1604B331;Data Mining;3;2020-2021 Gasal;AB
14;1604B043;Web Programming;3;2020-2021 Gasal;BC
15;1607A031;Pemrograman Basis Data;2;2020-2021 Gasal;A
16;1604B035;Statistics;3;2020-2021 Gasal;AB
17;1604B034;Software Engineering;5;2020-2021 Gasal;B
18;1604B032;Computer Network;3;2020-2021 Gasal;B
19;1604B031;Data Structure;3;2020-2021 Gasal;A
20;1604B341;Applied Multivariate Analysis;3;2020-2021 Genap;C
21;1000A006;Pendidikan Agama Hindu;3;2020-2021 Genap;A
22;1604B053;Physically Based Animation;3;2020-2021 Genap;A
23;1604B046;Data Science Programming;3;2020-2021 Genap;A
24;1604B045;Information Security and Assurance;3;2020-2021 Genap;A
25;1604B042;AI Fundamental;3;2020-2021 Genap;A
26;1604B044;Distributed Programming;3;2020-2021 Genap;A
27;1604B052;Native Mobile Programming;3;2020-2021 Genap;A
28;1604C051;Full-Stack Programming;3;2021-2022 Gasal;AB
29;1604C053;Numerical Methods;2;2021-2022 Gasal;B
30;1604C054;Hybrid Mobile Programming;3;2021-2022 Gasal;A
31;1604C055;Machine Learning;3;2021-2022 Gasal;AB
32;1604C062;Advanced Native Mobile Programming;3;2021-2022 Gasal;A
33;1604C362;Intelligent Information Retrieval;3;2021-2022 Gasal;B
34;1604C39D;Artificial Intelligence for Game;3;2021-2022 Gasal;A
35;1604C39H;Special Topic in DSAI;3;2021-2022 Gasal;AB
36;1604C351;Digital Image Processing;3;2021-2022 Genap;A
37;1604Z001;Kewirausahaan dan Inovasi;3;2021-2022 Genap;AB
38;1604C39K;Natural Language Processing;3;2021-2022 Genap;AB
39;1604C361;Operation Research;3;2021-2022 Genap;AB
40;1604C063;Web Framework Programming;3;2021-2022 Genap;A
41;1604C061;Leadership and Professional Ethics;2;2021-2022 Genap;C
42;1604C071;Research Methodology;3;2022-2023 Genap;AB
43;1604Z014;Communicative English;2;2022-2023 Genap;A
44;1607C09H;IS Evolving Technology;3;2022-2023 Genap;AB
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
